stid,station_name,lat,lon,elev,begints,endts,iem_network
LFRU,Morlaix,48.6032,-3.8158,83.36307,2014-12-30 00:00,,FR__ASOS
LFRV,Vannes,47.7233,-2.7186,133.45032,1987-05-31 00:00,,FR__ASOS
LFRZ,St.-nazaire,47.3139,-2.1544,4,1973-01-01 00:00,,FR__ASOS
LFSB,Mulhouse,47.6142,7.5103,271,1972-12-31 00:00,,FR__ASOS
LFSD,Dijon,47.2778,5.0883,227,1931-01-01 00:00,,FR__ASOS
LFSF,Metz,49.0731,6.1256,191,1936-01-02 00:00,2012-10-26 00:00,FR__ASOS
LFSG,Epinal,48.325,6.07,318.7405,2007-02-26 00:00,,FR__ASOS
LFSI,St.-dizier,48.6314,4.9036,140,1942-01-01 00:00,,FR__ASOS
LFSL,Brive,48.78,5.48,298,1952-03-19 00:00,,FR__ASOS
LFSM,Montbeliard,47.487,6.791,313,2024-05-19 00:00,,FR__ASOS
LFSN,Nancy,48.6878,6.2217,217,1928-01-01 00:00,,FR__ASOS
LFSO,Nancy,48.5811,5.9597,350,1973-01-01 00:00,,FR__ASOS
LFSR,Reims,49.3061,4.0506,99,1931-01-05 00:00,2012-04-16 00:00,FR__ASOS
LFST,Strasbourg,48.5494,7.6403,154,1931-01-01 00:00,,FR__ASOS
LFSX,Luxeuil,47.7869,6.3639,273,1941-03-01 00:00,,FR__ASOS
LFTH,Hyeres,43.0944,6.1464,4,1973-01-01 00:00,,FR__ASOS
LFTW,Nimes,43.7581,4.4119,96,1973-01-01 00:00,,FR__ASOS
LFVP,St.-pierre,46.7629,-56.1731,8,1977-06-30 00:00,,FR__ASOS
LFXA,Amberieu,45.9764,5.3294,257,1980-10-29 00:00,2012-09-03 00:00,FR__ASOS
LFYR,ROMORANTIN/PRUNIERS,47.3197,1.6875,86,1936-07-01 00:00,,FR__ASOS
